,date,name,format,link
0,2013-09-29 00:00:00,Triathlon de l'Île Barlet,M,/triathlon-ile-barlet-resultats-1600.htm
1,2013-09-15 00:00:00,Triathlon de Vaulx-en-Velin,XS VTT,/triathlon-vaulx-resultats-1587.htm
2,2013-09-15 00:00:00,Triathlon de Vaulx-en-Velin,S,/triathlon-vaulx-resultats-1586.htm
3,2013-09-08 00:00:00,Triathlon d'Aix-les-Bains,M,/triathlon-aix-resultats-1581.htm
4,2013-09-08 00:00:00,Triathlon d'Aix-les-Bains,XS,/triathlon-aix-resultats-1580.htm
5,2013-09-01 00:00:00,Triathlon d'Aiguebelette,S,/triathlon-aiguebelette-resultats-1572.htm
6,2013-09-01 00:00:00,Triathlon d'Aiguebelette,XS,/triathlon-aiguebelette-resultats-1573.htm
7,2013-08-25 00:00:00,Triathlon du Mont-Blanc,S,/triathlon-mont-blanc-passy-resultats-1569.htm
8,2013-08-25 00:00:00,Triathlon du Mont-Blanc,M,/triathlon-mont-blanc-passy-resultats-1570.htm
9,2013-08-24 00:00:00,Triathlon des Gorges de l'Ardèche,M,/triathlon-gorges-ardeche-resultats-1567.htm
10,2013-08-23 00:00:00,Triathlon des Gorges de l'Ardèche,S,/triathlon-gorges-ardeche-resultats-1566.htm
11,2013-08-15 00:00:00,Triathlon de Lamastre,S,/triathlon-lamastre-resultats-1562.htm
12,2013-07-25 00:00:00,Triathlon de l'Alpe d'Huez,M,/triathlon-alpe-huez-resultats-1555.htm
13,2013-07-24 00:00:00,Triathlon de l'Alpe d'Huez,L,/triathlon-alpe-huez-resultats-1554.htm
14,2013-07-21 00:00:00,Triathlon des collines,XS,/triathlon-des-collines-resultats-1552.htm
15,2013-07-21 00:00:00,Triathlon des collines,S,/triathlon-des-collines-resultats-1551.htm
16,2013-07-20 00:00:00,Triathlon de Courchevel,S,/triathlon-courchevel-resultats-1550.htm
17,2013-07-14 00:00:00,Triathlon de Thonon,M,/traithlon-thonon-resultats-1548.htm
18,2013-07-14 00:00:00,Triathlon de Thonon,XS,/traithlon-thonon-resultats-1549.htm
19,2013-07-07 00:00:00,Triathlon du Lac de Machilly,XS,/triathlon-lac-machilly-resultats-1542.htm
20,2013-07-07 00:00:00,Triathlon Nature du Valbonnais,M,/triathlon-valbonnais-resultats-1543.htm
21,2013-07-07 00:00:00,Triathlon Nature du Valbonnais,XS,/triathlon-valbonnais-resultats-1544.htm
22,2013-07-07 00:00:00,Triathlon du Lac de Machilly,S - CLM individuel,/triathlon-lac-machilly-resultats-1541.htm
23,2013-06-30 00:00:00,Triathlon du Lac d'Annecy,M,/triathlon-annecy-resultats-1536.htm
24,2013-06-16 00:00:00,Triathlon du Lac des Sapins,L,/triathlon-lac-des-sapins-cublize-resultats-1528.htm
25,2013-06-16 00:00:00,Triathlon du Lac des Sapins,M,/triathlon-lac-des-sapins-cublize-resultats-1527.htm
26,2013-06-09 00:00:00,Triathlon de Roanne,M,/triathlon-roanne-resultats-1525.htm
27,2013-06-09 00:00:00,Triathlon de Roanne,S,/triathlon-roanne-resultats-1526.htm
28,2013-06-02 00:00:00,Half Iron Doussard,L - Half Ironman,/half-iron-doussard-resultats-1520.htm
29,2013-05-26 00:00:00,Triathlon de Bourg-en-Bresse,S,/triathlon-bourg-en-bresse-resultats-1516.htm
30,2013-05-26 00:00:00,Triathlon de Bourg-en-Bresse,M,/triathlon-bourg-en-bresse-resultats-1517.htm
31,2013-05-19 00:00:00,Triathlon de Rumilly,XS,/triathlon-rumilly-resultats-1510.htm
32,2013-05-19 00:00:00,Triathlon de Rumilly,M,/triathlon-rumilly-resultats-1509.htm
33,2013-05-19 00:00:00,Half-Iron du Semnoz,L,/triathlon-rumilly-resultats-1511.htm
34,2013-05-12 00:00:00,Triathlon du Tricastin,XS - Open,/triathlon-tricastin-pierrelatte-resultats-1502.htm
35,2013-05-12 00:00:00,Triathlon du Tricastin,M,/triathlon-tricastin-pierrelatte-resultats-1504.htm
36,2013-05-11 00:00:00,Triathlon du Tricastin,S - Cadets-Juniors Hommes,/triathlon-tricastin-pierrelatte-resultats-1503.htm
37,2013-05-11 00:00:00,Triathlon du Tricastin,XS - benjamin(e)s,/triathlon-tricastin-pierrelatte-resultats-1499.htm
38,2013-05-11 00:00:00,Triathlon du Tricastin,XS - minimes filles,/triathlon-tricastin-pierrelatte-resultats-1497.htm
39,2013-05-11 00:00:00,Triathlon du Tricastin,S - Cadettes et Juniors filles,/triathlon-tricastin-pierrelatte-resultats-1501.htm
40,2013-05-11 00:00:00,Triathlon du Tricastin,XS - minimes garçons,/triathlon-tricastin-pierrelatte-resultats-1498.htm
41,2013-05-09 00:00:00,Triathlon du Dauphiné,XS,/triathlon-dauphine-st-donat-resultats-1496.htm
42,2013-05-09 00:00:00,Triathlon du Dauphiné,S,/triathlon-dauphine-st-donat-resultats-1495.htm
43,2013-05-05 00:00:00,Triathlon de Valence,S,/triathlon-valence-resultats-1491.htm
44,2013-05-05 00:00:00,Triathlon de Valence,XS,/triathlon-valence-resultats-1492.htm
